GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stark Database Migration,stark.migration,SmallintType,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,MysqlUserFactory.,6,8,0,0,1,1,1,2,1,2
Stark Database Migration,stark.migration,Comment.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,DefaultCharColumnDefinition,0,7,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,Limit,95,55,17,3,2,8,18,8,9,7
Stark Database Migration,stark.migration,After.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,Update,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,AutoCommit.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,MigrationException,0,4,0,0,0,2,0,1,0,1
Stark Database Migration,stark.migration,PrimaryKey.,28,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,NotNull,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,Down,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,OracleBigintColumnDefinition,5,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,PlainUser,0,21,0,0,0,3,0,2,0,2
Stark Database Migration,stark.migration,NamedCheck,148,11,25,0,1,2,31,1,18,1
Stark Database Migration,stark.migration,Scale,123,14,15,1,3,3,23,2,15,2
Stark Database Migration,stark.migration,PostgresqlSmallintColumnDefinition,11,0,2,0,3,0,3,0,2,0
Stark Database Migration,stark.migration,Cascade,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,OnDelete,104,11,18,0,0,2,23,2,14,2
Stark Database Migration,stark.migration,DuplicateMigrationVersionException,0,4,0,0,0,2,0,1,0,1
Stark Database Migration,stark.migration,With,39,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,RichConnection,4,14,0,0,0,3,1,2,1,2
Stark Database Migration,stark.migration,ConflictingTriggerException,4,0,0,0,2,0,1,0,1,0
Stark Database Migration,stark.migration,Unicode,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,SchemaDumper,4,0,0,0,0,0,1,0,1,0
Stark Database Migration,stark.migration,CommitUponReturnOrRollbackUponException.,36,0,0,0,2,0,10,0,10,0
Stark Database Migration,stark.migration,Check.,27,0,2,0,1,0,7,0,6,0
